,shop_name,creation_date,listing_active_count,num_favorers,currency_code,is_shop_us_based,sale_message,sales_count,review_count,shop_location
183,SPILLMANshop,2021-01,1,0,USD,True,,-99,0,None
184,OneofakindbyA,2021-01,3,0,USD,True,,-99,0,None
185,blossomshopbyme,2021-01,1,0,USD,True,,-99,0,None
186,OlehhArtShop,2021-01,1,0,USD,False,,-99,0,None
187,ArwaniaFashions,2021-01,2,0,USD,False,,-99,0,None
188,AppelCorEngraving,2021-01,1,0,USD,True,,-99,0,None
189,EliciaKirkFinds,2021-01,1,0,CAD,False,,-99,0,None
190,SFDRAKEx,2021-01,1,0,USD,True,,-99,0,None
191,GVJURKIEWICZ,2021-01,1,0,USD,True,,-99,0,None
192,SasquatchleatherCo,2021-01,3,1,USD,True,,-99,0,None
193,BeyondBombCreations,2021-01,3,1,USD,True,,-99,0,None
194,SolLunaEclipse,2021-01,6,2,GBP,False,,-99,0,None
195,ShopAllenGNorvell,2021-01,1,0,USD,True,,-99,0,None
196,DealandBargainsGB,2021-01,1,0,GBP,False,,-99,0,None
197,HealthEbooksStudio,2021-01,2,0,USD,True,,-99,0,None
198,KurtMinnichStore,2021-01,1,0,USD,True,,-99,0,None
199,handmadebyhai56,2021-01,1,0,EUR,False,,-99,0,None
200,GVJURKIEWICZ,2021-01,1,0,USD,True,,-99,0,None
201,SasquatchleatherCo,2021-01,3,1,USD,True,,-99,0,None
202,BeyondBombCreations,2021-01,3,1,USD,True,,-99,0,None
203,SolLunaEclipse,2021-01,6,2,GBP,False,,-99,0,None
204,ShopAllenGNorvell,2021-01,1,0,USD,True,,-99,0,None
205,DealandBargainsGB,2021-01,1,0,GBP,False,,-99,0,None
206,HealthEbooksStudio,2021-01,2,0,USD,True,,-99,0,None
207,KurtMinnichStore,2021-01,1,0,USD,True,,-99,0,None
208,handmadebyhai56,2021-01,1,0,EUR,False,,-99,0,None
209,EsliesArt,2021-01,6,2,USD,True,,-99,0,None
210,haitrinh22,2021-01,1,0,USD,False,,-99,0,None
211,thonghtong34,2021-01,1,0,USD,False,,-99,0,None
212,JerseyGirlByColleen,2021-01,3,0,USD,True,,-99,0,None
213,JoyceMori,2021-01,6,0,USD,True,,-99,0,None
214,KnotTheNormWoodWork,2021-01,1,0,GBP,False,,-99,0,None
